DepartmentGroupNumber,GroupSize,PercentMale,BAME,NumberTeamLeads,NumberFeMaleTeamLeads,LondonorNot,Function
75,25,65,0.3,4,1,1,1
96,34,100,0.3,5,,1,1
116,23,65,0.3,3,0,1,1
120,19,54,0.3,3,1,1,2
137,59,99,0.3,8,0,1,1
151,10,65,0.3,1,0,1,1
153,22,45,0.3,3,0,1,2
169,33,75,0.3,5,0,1,1
192,24,85,0.3,3,0,2,1
197,11,25,0.3,2,0,1,2
216,48,76,0.3,7,0,1,1
227,48,65,0.3,7,2,1,1
234,53,65,0.3,8,4,1,2
254,30,100,0.3,4,0,2,1
255,10,65,0.3,1,1,1,2
276,26,56,0.3,4,2,1,1
280,17,66,0.3,2,0,1,2
307,51,75,0.3,7,1,1,1
308,51,4,0.3,7,7,1,2
327,63,65,0.3,9,1,1,1
334,27,54,0.3,4,0,1,2
356,49,35,0.3,7,0,1,2
358,15,87,0.3,2,0,1,1
371,15,65,0.3,2,0,1,1
389,10,25,0.3,1,0,1,2
397,44,65,0.3,6,3,1,1
415,61,52,0.3,9,0,1,2
425,46,48,0.3,7,0,1,2
442,13,65,0.3,2,0,1,2
455,41,55,0.3,6,1,1,1
463,48,33,0.3,7,0,1,2
485,26,65,0.3,4,0,1,2
504,64,25,0.3,9,1,1,2
518,15,36,0.3,2,0,1,2
520,11,55,0.3,2,0,1,1
533,17,45,0.3,2,0,1,1
548,17,45,0.3,2,0,2,1
550,28,32,0.3,4,0,1,2
559,33,66,0.3,5,2,1,2
595,64,64,0.3,9,2,1,2
612,55,65,0.3,8,0,1,1
615,18,33,0.3,3,0,1,2
625,24,87,0.3,3,0,1,1
648,26,35,0.3,4,0,1,2
659,24,65,0.3,3,1,1,1
682,14,65,0.3,2,1,1,1
684,28,25,0.3,4,0,1,2
706,38,100,0.3,5,,2,1
712,70,64,0.3,10,0,1,2
713,23,75,0.3,3,0,1,1
727,12,55,0.3,2,0,1,2
741,11,76,0.3,2,0,1,1
748,15,75,0.3,2,0,2,2
766,37,100,0.3,5,,1,1
773,24,61,0.3,3,0,1,2
794,20,65,0.3,3,2,1,1
804,27,64,0.3,4,0,1,1
818,10,42,0.3,1,0,1,2
830,48,65,0.3,7,1,1,1
837,37,25,0.3,5,0,1,2
862,15,52,0.3,2,0,1,1
865,30,45,0.3,4,0,1,2
872,45,65,0.3,6,0,1,2
884,14,35,0.3,2,0,1,2
890,14,57,0.3,2,0,1,1
913,39,67,0.3,6,0,1,2
917,13,75,0.3,2,0,1,1
660,25,64,0.32,4,0,1,2
765,14,25,0.32,2,0,1,2
826,48,25,0.32,7,0,1,2
935,14,3,0.32,2,2,1,2
147,33,58,0.35,5,1,1,2
248,40,55,0.35,6,0,1,2
296,34,26,0.35,5,0,1,2
353,22,65,0.35,3,1,1,2
411,48,25,0.35,7,2,2,2
439,48,25,0.35,7,0,1,2
479,10,26,0.35,1,0,1,2
501,31,35,0.35,4,0,1,2
546,24,42,0.35,3,0,1,2
591,15,25,0.35,2,2,1,2
645,12,65,0.35,2,0,1,2
703,58,65,0.35,8,0,1,2
744,25,54,0.35,4,0,1,2
808,52,15,0.35,7,2,1,2
860,14,15,0.35,2,1,1,2
906,59,65,0.35,8,2,2,2
34,16,68,0.4,2,1,1,2
115,45,35,0.4,6,0,1,2
225,17,48,0.4,2,2,1,1
229,15,57,0.4,2,1,1,2
271,49,24,0.4,7,0,1,2
328,44,56,0.4,6,0,1,2
385,21,56,0.4,3,0,1,2
423,36,52,0.4,5,0,1,2
460,25,54,0.4,4,0,1,2
482,28,45,0.4,4,0,2,2
508,26,15,0.4,4,2,1,2
556,56,24,0.4,8,0,1,2
602,16,65,0.4,2,0,1,2
613,14,24,0.4,2,0,1,2
678,56,61,0.4,8,1,1,2
724,48,65,0.4,7,2,1,2
767,11,65,0.4,2,1,1,2
829,10,25,0.4,1,0,1,2
867,36,18,0.4,5,2,1,2
881,52,65,0.4,7,1,1,2
92,43,58,0.45,6,0,2,2
145,44,67,0.45,6,3,1,1
657,55,45,0.45,8,0,1,2
764,53,65,0.45,8,0,1,2
823,32,65,0.45,5,0,1,2
933,43,2,0.45,6,2,2,2
